Total Trophies,Angle of Spread,Correlation,Correlation Red,Correlation Green,Power Mean,Trophies Mean,Power Mean Norm,Trophies Mean Norm,Date,Datetime
20374.0,36.59807011,0.841264757,0.887104542,0.955859706,7.358490566,384.4150943,0.668953688,0.669712708,30/06/22,30/06/22 02:11
20407.0,36.6156938,0.835423309,0.887104542,0.957265926,7.358490566,385.0377358,0.668953688,0.669630845,30/06/22,15:44.1
20421.0,36.6156938,0.832443274,0.887104542,0.957035391,7.358490566,385.3018868,0.668953688,0.670090238,30/06/22,44:21.7
20421.0,36.6156938,0.832443274,0.887104542,0.957035391,7.358490566,385.3018868,0.668953688,0.670090238,01/07/22,05:19.8
20426.0,36.63321846,0.831980741,0.887104542,0.957326045,7.358490566,385.3962264,0.668953688,0.669090671,01/07/22,33:27.7
20510.0,39.07350676,0.819799815,0.871365479,0.954899005,7.358490566,386.9811321,0.668953688,0.66951753,02/07/22,45:02.4
20526.0,39.07350676,0.820167614,0.871365479,0.956321229,7.358490566,387.2830189,0.668953688,0.670039825,03/07/22,10:16.8
20524.0,39.07350676,0.821944931,0.872453925,0.957401916,7.358490566,387.245283,0.668953688,0.669974538,03/07/22,55:53.2
20612.0,38.32476451,0.821211779,0.876306907,0.959552868,7.358490566,388.9056604,0.668953688,0.669372909,03/07/22,29:48.5
20619.0,38.05821853,0.822619099,0.88020038,0.959552868,7.358490566,389.0377358,0.668953688,0.669600234,03/07/22,59:39.2
20660.0,37.72677634,0.8254692,0.883373336,0.965214865,7.358490566,389.8113208,0.668953688,0.669778902,03/07/22,35:16.3
20689.0,37.74783891,0.825420792,0.88423186,0.961398075,7.358490566,390.3584906,0.668953688,0.669568594,03/07/22,06:10.2
20694.0,37.74783891,0.824296277,0.88423186,0.961351715,7.358490566,390.4528302,0.668953688,0.669730412,03/07/22,28:29.4
20771.0,37.78967113,0.827506857,0.897828867,0.958167232,7.358490566,391.9056604,0.668953688,0.669924206,03/07/22,32:07.1
20786.0,37.81044137,0.826674493,0.897828867,0.958067285,7.358490566,392.1886792,0.668953688,0.669263958,03/07/22,16:18.5
20804.0,37.81044137,0.827365016,0.897780485,0.958067285,7.358490566,392.5283019,0.668953688,0.669843519,03/07/22,38:47.4
20840.0,35.29327399,0.834006138,0.915065418,0.958067285,7.358490566,393.2075472,0.668953688,0.669859535,03/07/22,33:18.4
20876.0,35.31498189,0.834932772,0.913198517,0.958067285,7.358490566,393.8867925,0.668953688,0.669875497,04/07/22,24:28.2
20894.0,35.3365979,0.834578084,0.908189396,0.958067285,7.358490566,394.2264151,0.668953688,0.669314796,04/07/22,39:31.2
20899.0,35.3365979,0.834380654,0.911525552,0.955603976,7.358490566,394.3207547,0.668953688,0.669474966,04/07/22,45:17.4
20909.0,35.3365979,0.833855654,0.911525552,0.956875676,7.358490566,394.509434,0.668953688,0.669795304,04/07/22,50:31.4
20917.0,35.3365979,0.83331014,0.911525552,0.957668612,7.358490566,394.6603774,0.668953688,0.670051574,04/07/22,26:51.4
20917.0,35.3365979,0.83331014,0.911525552,0.957668612,7.358490566,394.6603774,0.668953688,0.670051574,05/07/22,54:34.3
20928.0,16.07419274,0.848997947,0.931523408,0.958249665,7.41509434,394.8679245,0.674099485,0.674987905,05/07/22,55:21.7
20946.0,11.69999974,0.857436454,0.944432175,0.9623408,7.452830189,395.2075472,0.677530017,0.677886016,06/07/22,41:57.5
20968.0,11.69999974,0.85497947,0.941377034,0.9623408,7.452830189,395.6226415,0.677530017,0.678598013,06/07/22,06:59.2
20993.0,10.92921544,0.858967781,0.946926106,0.9623408,7.452830189,396.0943396,0.677530017,0.678243732,06/07/22,00:41.5
21003.0,10.92921544,0.857901408,0.938837077,0.969925593,7.452830189,396.2830189,0.677530017,0.678566813,06/07/22,58:17.7
21058.0,10.9293636,0.855064707,0.943272603,0.965690199,7.490566038,397.3207547,0.680960549,0.681510729,06/07/22,40:30.3
21110.0,12.65391714,0.844369483,0.943272603,0.956472135,7.490566038,398.3018868,0.680960549,0.682023779,06/07/22,59:10.4
21123.0,12.65435663,0.84422535,0.942286772,0.956472135,7.490566038,398.5471698,0.680960549,0.681277213,06/07/22,00:27.1
21123.0,12.65435663,0.84422535,0.942286772,0.956472135,7.490566038,398.5471698,0.680960549,0.681277213,07/07/22,56:43.4
21141.0,12.65435663,0.844225392,0.939505136,0.956472135,7.490566038,398.8867925,0.680960549,0.681857765,07/07/22,45:52.3
21167.0,12.65639154,0.84825135,0.914935613,0.946522151,7.490566038,399.3773585,0.680960549,0.663417539,07/07/22,36:33.6
21180.0,12.65639154,0.849231542,0.914547008,0.946522151,7.490566038,399.6226415,0.680960549,0.663824986,07/07/22,55:56.1
21180.0,12.65639154,0.849231542,0.914547008,0.946522151,7.490566038,399.6226415,0.680960549,0.663824986,08/07/22,44:31.4
21187.0,12.65639154,0.849493869,0.915713121,0.946522151,7.490566038,399.754717,0.680960549,0.66404438,08/07/22,38:33.4
21210.0,10.92140391,0.855225599,0.913661681,0.949167345,7.509433962,400.1886792,0.682675815,0.664765248,08/07/22,32:54.1
21223.0,10.92140391,0.855493941,0.915418687,0.949167345,7.509433962,400.4339623,0.682675815,0.665172695,08/07/22,45:41.4
21223.0,10.92140391,0.855493941,0.915418687,0.949167345,7.509433962,400.4339623,0.682675815,0.665172695,09/07/22,05:58.0
21213.0,10.92801304,0.853073249,0.918166906,0.963115347,7.509433962,400.245283,0.682675815,0.679533587,09/07/22,15:12.6
21239.0,10.92903629,0.855870777,0.933197897,0.967409231,7.528301887,400.7358491,0.684391081,0.685018545,11/07/22,24:26.1
21250.0,11.11497688,0.847610785,0.942648914,0.945641764,7.58490566,400.9433962,0.689536878,0.690091904,11/07/22,09:09.0
21259.0,11.11497688,0.84847682,0.944074865,0.945641764,7.58490566,401.1132075,0.689536878,0.690384178,11/07/22,33:22.1
21253.0,11.11497688,0.847210436,0.944706675,0.945641764,7.58490566,401.0,0.689536878,0.690189329,11/07/22,38:38.3
21257.0,10.88336717,0.847637538,0.945482642,0.945641764,7.58490566,401.0754717,0.689536878,0.690319228,11/07/22,44:30.5
21273.0,13.22133095,0.835905322,0.931413557,0.945641764,7.603773585,401.3773585,0.691252144,0.692029928,11/07/22,57:29.8
21294.0,11.20805144,0.838691942,0.937321438,0.945641764,7.603773585,401.7735849,0.691252144,0.6915208,11/07/22,09:56.5
21303.0,11.20805144,0.83873059,0.93773093,0.945641764,7.603773585,401.9433962,0.691252144,0.691813074,11/07/22,22:23.7
21303.0,11.20820029,0.832286328,0.934068625,0.945641764,7.622641509,401.9433962,0.69296741,0.693005856,12/07/22,31:54.2
21335.0,11.41577389,0.82398542,0.92937834,0.948055453,7.641509434,402.5471698,0.694682676,0.695245544,13/07/22,45:57.9
21369.0,11.40587561,0.831026521,0.887096982,0.944701628,7.641509434,403.1886792,0.694682676,0.668637942,13/07/22,37:38.5
21389.0,29.47279661,0.878321117,0.94449755,0.944701628,7.518518519,396.0925926,0.683501684,0.656869971,13/07/22,57:38.7
21409.0,13.39924777,0.874342745,0.942875633,0.944701628,7.518518519,396.462963,0.683501684,0.657484184,13/07/22,14:20.8
21429.0,11.40587561,0.86976558,0.887096982,0.976434805,7.518518519,396.8333333,0.683501684,0.658098397,13/07/22,21:32.9
21453.0,18.76060055,0.863432134,0.887096982,0.97392243,7.518518519,397.2777778,0.683501684,0.658835452,13/07/22,59:06.9
21619.0,11.08502519,0.859156851,0.881792052,0.970976447,7.574074074,400.3518519,0.688552189,0.666142848,15/07/22,39:20.1
21621.0,11.08502519,0.859338921,0.882321824,0.970976447,7.574074074,400.3888889,0.688552189,0.666204474,15/07/22,46:37.4
21629.0,11.20702696,0.858146277,0.882321824,0.969761497,7.574074074,400.537037,0.688552189,0.666450977,15/07/22,57:55.0
21633.0,14.44548471,0.843399344,0.850353514,0.969761497,7.592592593,400.6111111,0.69023569,0.666574228,15/07/22,19:00.3
21647.0,13.37311156,0.847487434,0.863055874,0.969761497,7.592592593,400.8703704,0.69023569,0.667005608,15/07/22,37:01.9
21654.0,13.37311156,0.848083685,0.864737642,0.969761497,7.592592593,401.0,0.69023569,0.667221298,15/07/22,48:27.4
21688.0,13.373111564044333,0.8490856997274138,0.8693825196840727,0.9696898319487915,7.592592592592593,401.6296296296296,0.69023569023569,0.6682689344918961,2022-07-16,2022-07-16 17:47:45.180915
21741.0,13.373111564044333,0.8438426069424634,0.8649693747741846,0.9679430362396592,7.592592592592593,402.6111111111111,0.69023569023569,0.6699020151599184,2022-07-16,2022-07-16 18:18:04.143153
21759.0,12.036534453408168,0.848778799213834,0.8796327887508747,0.9679430362396592,7.592592592592593,402.94444444444446,0.69023569023569,0.6704566463301902,2022-07-17,2022-07-17 01:09:46.323975
21785.0,10.887541750386369,0.8548120591561083,0.8948387518873416,0.9679430362396592,7.592592592592593,403.4259259259259,0.69023569023569,0.671257780242805,2022-07-17,2022-07-17 01:24:32.138989
21801.0,10.796783395501857,0.8571899273813852,0.9006752945186078,0.9679430362396592,7.592592592592593,403.72222222222223,0.69023569023569,0.671750785727491,2022-07-17,2022-07-17 01:54:14.014337
21820.0,10.187728633562536,0.8587626541290608,0.9053526576953236,0.9679430362396592,7.592592592592593,404.0740740740741,0.6902356902356901,0.6723362297405556,2022-07-17,2022-07-17 02:01:33.516985
21840.0,10.187728633562536,0.8596621665619198,0.9062772526230936,0.9679430362396592,7.592592592592593,404.44444444444446,0.6902356902356901,0.6729524865964132,2022-07-17,2022-07-17 02:37:13.445784
21865.0,10.187728633562536,0.8596709934518572,0.9013855265291584,0.9679430362396592,7.592592592592593,404.9074074074074,0.6902356902356901,0.673722807666235,2022-07-17,2022-07-17 11:41:54.876864
21945.0,10.023564044949696,0.870129719883218,0.9066264016655328,0.9679430362396592,7.592592592592593,406.3888888888889,0.6902356902356901,0.6761878350896652,2022-07-17,2022-07-17 12:37:48.145760
21988.0,9.9460734415043,0.8747500324242439,0.9134356742903768,0.9679430362396592,7.592592592592593,407.1851851851852,0.6902356902356901,0.677512787329759,2022-07-17,2022-07-17 13:09:19.689388
22007.0,9.901871312209568,0.8772564273250456,0.9186476013644184,0.9679430362396592,7.592592592592593,407.537037037037,0.6902356902356901,0.6780982313428235,2022-07-17,2022-07-17 13:37:40.516576
22051.0,11.795700607914824,0.8703710245281295,0.9186476013644184,0.965443517341208,7.592592592592593,408.3518518518519,0.6902356902356901,0.6794539964257102,2022-07-17,2022-07-17 18:17:37.962930
22058.0,11.795700607914824,0.8700162421703146,0.9168856824632952,0.965443517341208,7.592592592592593,408.4814814814815,0.6902356902356901,0.6796696863252604,2022-07-17,2022-07-17 23:20:07.653507
22074.0,11.795700607914824,0.8712857146494202,0.919900363123841,0.965443517341208,7.592592592592593,408.77777777777777,0.6902356902356901,0.6801626918099464,2022-07-18,2022-07-18 06:12:39.440597
22150.0,11.35679454797453,0.8850469486046472,0.9336361559625866,0.9675044476003848,7.611111111111111,410.1851851851852,0.6919191919191918,0.682504467862205,2022-07-18,2022-07-18 06:57:04.469181
22142.0,11.35679454797453,0.8844251434844912,0.9336086589142428,0.9675044476003848,7.611111111111111,410.037037037037,0.6919191919191918,0.682257965119862,2022-07-18,2022-07-18 07:14:50.886890
22160.0,14.955420119043842,0.8767183655768589,0.9324526889795142,0.960329592145564,7.611111111111111,410.3703703703704,0.6919191919191918,0.6828125962901337,2022-07-18,2022-07-18 15:12:01.720979
22184.0,15.525814142270123,0.8733604077928769,0.9324526889795142,0.9584037755466268,7.611111111111111,410.8148148148149,0.6919191919191918,0.6835521045171626,2022-07-18,2022-07-18 17:06:50.649839
22191.0,9.69163566396508,0.882139272165617,0.9325750260835974,0.9675921769459392,7.62962962962963,410.94444444444446,0.6936026936026936,0.6837677944167128,2022-07-18,2022-07-18 18:00:03.545356
22203.0,9.69163566396508,0.8817151353972185,0.9309961831600004,0.9675921769459392,7.62962962962963,411.1666666666667,0.6936026936026936,0.6841375485302273,2022-07-18,2022-07-18 18:08:07.397579
22211.0,9.69163566396508,0.8800424427263104,0.9309961831600004,0.9664300373717782,7.62962962962963,411.3148148148149,0.6936026936026936,0.6843840512725704,2022-07-18,2022-07-18 23:46:28.656734
22221.0,9.69163566396508,0.8794537670390539,0.9285508955796776,0.9664300373717782,7.62962962962963,411.5,0.6936026936026936,0.684692179700499,2022-07-18,2022-07-18 23:59:12.316355
22221.0,9.69163566396508,0.8794537670390539,0.9285508955796776,0.9664300373717782,7.62962962962963,411.5,0.6936026936026936,0.684692179700499,2022-07-19,2022-07-19 00:07:32.051198
22231.0,9.69163566396508,0.8799173229453597,0.9290510537274996,0.9664300373717782,7.62962962962963,411.6851851851852,0.6936026936026936,0.6850003081284278,2022-07-19,2022-07-19 00:21:14.782261
22273.0,9.34096348145579,0.8813398310205436,0.9287079205902312,0.9664300373717782,7.62962962962963,412.462962962963,0.6936026936026936,0.6862944475257287,2022-07-19,2022-07-19 03:18:56.073366
22274.0,9.34096348145579,0.8814166529022591,0.9289123160662732,0.9664300373717782,7.62962962962963,412.4814814814815,0.6936026936026936,0.6863252603685216,2022-07-19,2022-07-19 03:37:06.624324
22322.0,9.34096348145579,0.8824577741301257,0.9301994939563778,0.9650977540317552,7.62962962962963,413.3703703703704,0.6936026936026936,0.6878042768225796,2022-07-19,2022-07-19 11:49:20.694953
22339.0,9.34096348145579,0.8831659954998788,0.9306464821332284,0.9650977540317552,7.62962962962963,413.6851851851852,0.6936026936026936,0.6883280951500585,2022-07-19,2022-07-19 12:22:38.863469
22346.0,9.271261887660028,0.8838637065805944,0.932881601436732,0.9650977540317552,7.62962962962963,413.8148148148149,0.6936026936026936,0.6885437850496087,2022-07-19,2022-07-19 12:28:21.812415
22369.0,9.271261887660028,0.8811079667609527,0.930809041087898,0.9646372817101664,7.648148148148148,414.2407407407408,0.6952861952861952,0.6892524804338448,2022-07-20,2022-07-20 12:56:59.750395
22391.0,9.271112010804403,0.8772949025486914,0.9368244876910784,0.9562599229355312,7.648148148148148,414.64814814814815,0.6952861952861952,0.6945530119734475,2022-07-20,2022-07-20 20:26:34.044297
22388.0,9.271112010804403,0.8776907174124771,0.9368244876910784,0.9563081146280744,7.648148148148148,414.5925925925926,0.6952861952861952,0.6944599540914448,2022-07-20,2022-07-20 20:53:28.330922
22438.0,9.271187723100862,0.87415064160046,0.9428233214901656,0.9537248152400122,7.648148148148148,415.5185185185185,0.6952861952861952,0.6948470209339773,2022-07-20,2022-07-20 21:15:23.609131
22447.0,9.271112010804403,0.8794584092860404,0.9428233214901652,0.9543446833882516,7.666666666666667,415.6851851851852,0.6969696969696968,0.6962900924374961,2022-07-21,2022-07-21 00:18:35.060990
22452.0,9.271112010804403,0.8790955055865477,0.941319290032715,0.956628615728133,7.666666666666667,415.77777777777777,0.6969696969696968,0.6964451889075003,2022-07-21,2022-07-21 12:25:01.647035
22484.0,9.271187723100862,0.8823402232916829,0.9427826682278106,0.956628615728133,7.666666666666667,416.3703703703704,0.6969696969696968,0.6962715223584787,2022-07-21,2022-07-21 13:33:33.480104
22510.0,9.27123785535824,0.8831206422843971,0.9434709233359708,0.955327177521307,7.666666666666667,416.8518518518519,0.6969696969696968,0.6959129413219565,2022-07-21,2022-07-21 13:44:31.671832
22542.0,9.27123785535824,0.8828437234232834,0.9430033928925252,0.9554597626236784,7.666666666666667,417.44444444444446,0.6969696969696968,0.6969022444815435,2022-07-21,2022-07-21 13:59:05.170824
22553.0,9.271262534660508,0.8814275199679162,0.9361589537178424,0.9569514891468756,7.666666666666667,417.64814814814815,0.6969696969696968,0.69608024691358,2022-07-21,2022-07-21 18:10:44.213593
22569.0,9.27123785535824,0.880700269382732,0.9467944068257904,0.9495355717657044,7.685185185185185,417.94444444444446,0.6986531986531985,0.6977369690224449,2022-07-21,2022-07-21 22:40:58.259920
22605.0,9.271262534660508,0.8842854731953796,0.941800839229034,0.9515948625355722,7.685185185185185,418.6111111111111,0.6986531986531985,0.6976851851851849,2022-07-21,2022-07-21 23:16:38.186974
22645.0,9.109074181916528,0.8904239940719978,0.9550297232967324,0.9459650619124051,7.703703703703703,419.3518518518519,0.7003367003367001,0.7000865640264637,2022-07-22,2022-07-22 01:24:45.923037
22668.0,9.028373735476748,0.8908231346594732,0.9535068817626432,0.9482515097973776,7.703703703703703,419.77777777777777,0.7003367003367001,0.6996296296296294,2022-07-22,2022-07-22 02:29:42.477396
22676.0,9.028373735476748,0.8906483318648947,0.9535068817626432,0.9487490285781336,7.703703703703703,419.9259259259259,0.7003367003367001,0.6998765432098764,2022-07-22,2022-07-22 02:46:46.161669
22692.0,9.028286111967365,0.8908337642273675,0.962170332174638,0.9354012069137884,7.722222222222222,420.22222222222223,0.702020202020202,0.7015396030421072,2022-07-22,2022-07-22 14:23:08.209440
22707.0,9.028286111967365,0.8909691955359835,0.9607107426807556,0.9354012069137884,7.722222222222222,420.5,0.702020202020202,0.7020033388981636,2022-07-22,2022-07-22 14:53:22.906457
22721.0,9.028373735476748,0.8910096530362686,0.9582456652734538,0.9380758191370612,7.722222222222222,420.7592592592592,0.702020202020202,0.7012654320987652,2022-07-22,2022-07-22 22:31:27.687663
22721.0,9.028373735476748,0.8910096530362686,0.9582456652734538,0.9380758191370612,7.722222222222222,420.7592592592592,0.702020202020202,0.7012654320987652,2022-07-24,2022-07-24 03:03:50.786944
22729.0,9.028373735476748,0.8912407308070677,0.9573001362458856,0.9380758191370612,7.722222222222222,420.9074074074074,0.702020202020202,0.7015123456790122,2022-07-24,2022-07-24 13:11:55.689932
22746.0,9.028436569110042,0.8898107849371628,0.9556481575542788,0.9426670479320164,7.722222222222222,421.22222222222223,0.702020202020202,0.7008689221667589,2022-07-24,2022-07-24 14:55:04.828088
22768.0,9.028436569110042,0.8945621848261973,0.9624244745428236,0.9426670479320164,7.722222222222222,421.6296296296296,0.702020202020202,0.7015468047082022,2022-07-24,2022-07-24 14:55:45.575951
22770.0,9.028436569110042,0.8948625483016852,0.962936612562927,0.9426670479320164,7.722222222222222,421.6666666666667,0.702020202020202,0.701608430393788,2022-07-24,2022-07-24 21:30:15.989227
22773.0,9.028436569110042,0.8950462282444794,0.9632624498001174,0.9426670479320164,7.722222222222222,421.72222222222223,0.702020202020202,0.7017008689221664,2022-07-25,2022-07-25 02:08:33.264880
22786.0,9.028474735387316,0.8952878569296734,0.966582376761886,0.9425039665264694,7.722222222222222,421.962962962963,0.702020202020202,0.7009351544235264,2022-07-25,2022-07-25 02:21:46.006827
22705.0,8.831849166893177,0.9045515942345644,0.965845137796319,0.9443032451337118,7.74074074074074,420.462962962963,0.7037037037037036,0.70311532268054,2022-07-25,2022-07-25 16:36:05.924161
22696.0,8.831656286814813,0.902201482314888,0.9718033698402544,0.9368192665318452,7.7592592592592595,420.2962962962963,0.7053872053872051,0.7051951280139201,2022-07-25,2022-07-25 19:16:21.837598
22705.0,8.831765001182681,0.9036620535892902,0.9651178655046172,0.9390231690928534,7.7592592592592595,420.462962962963,0.7053872053872051,0.7042930702897201,2022-07-25,2022-07-25 19:18:24.020549
22774.0,7.8920048892539585,0.9121975128986034,0.9775675285054706,0.9360115277442134,7.7592592592592595,421.7407407407408,0.7053872053872051,0.7052520748172921,2022-07-26,2022-07-26 01:15:10.391503
22793.0,7.891713646886636,0.9191052928679264,0.9775675285054706,0.9429320651406105,7.777777777777778,422.0925925925926,0.7070707070707068,0.7070227681617965,2022-07-26,2022-07-26 01:36:39.399853
22794.0,7.891713646886636,0.9192472820168776,0.9775675285054706,0.9432792701039726,7.777777777777778,422.1111111111111,0.7070707070707068,0.7070537874557975,2022-07-26,2022-07-26 01:46:39.705345
22816.0,7.8920048892539585,0.9200834976227144,0.978531572938252,0.9432792701039726,7.777777777777778,422.5185185185185,0.7070707070707068,0.7065527065527064,2022-07-27,2022-07-27 01:05:48.389228
22839.0,7.892273891912784,0.9190729842326578,0.9796088748418984,0.944981512690238,7.777777777777778,422.94444444444446,0.7070707070707068,0.7060842144314597,2022-07-27,2022-07-27 01:23:02.828635
22850.0,7.892273891912784,0.9183172110004176,0.9796088748418984,0.9449359342107916,7.777777777777778,423.14814814814815,0.7070707070707068,0.7064242873925678,2022-07-28,2022-07-28 09:38:25.201542
